id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
1,ZYZ,ZYZ,"99,86,5,0",,
2,CSH,CSH,"90,33,100,25",,
3,WLP,WLP,"59,54,53,24",,
4,BSF,BSF,"74,14,8,0",,
5,SND,SND,"81,57,40,19",,
6,FLA,FLA,"6,100,100,1",,
7,OAK,OAK,"76,22,11,0",,
8,PSL,PSL,"100,88,13,2",,
9,PCV,PCV,"93,69,0,0",,
10,TEQ,TEQ,"65,11,1,0",,
11,SUF,SUF,"82,45,100,55",,
12,COU,COU,"50,25,0,55",,
13,SLO,SLO,"96,90,24,11",,
14,HDA,HDA,"80,41,86,39",,
15,IAV,IAV,"54,28,75,7",,
16,DUP,DUP,"98,85,34,23",,
17,ABO,ABO,"83,36,38,5",,
18,RVB,RVB,"72,24,0,0",,
19,STG,STG,"47,48,43,7",,
20,TOW,TOW,"86,48,2,0",,
21,VMT,VMT,"89,56,64,55",,
22,TCA,TCA,"98,84,29,15",,
23,GRY,GRY,"67,84,0,0",,
24,SCV,SCV,"100,98,32,24",,
25,ATL,ATL,"53,25,55,2",,
26,AHV,AHV,"18,100,90,7",,
27,BTE,BTE,"100,76,35,21",,
28,CAN,CAN,"90,79,0,0",,
29,ANU,ANU,"42,69,98,49",,
30,BFM,BFM,"99,73,30,14",,
31,GRL,GRL,"86,73,0,0",,
32,HMS,HMS,"56,36,21,0",,
33,AHT,AHT,"76,16,13,0",,
34,WDO,WDO,"100,85,38,29",,
35,ADA,ADA,"91,49,38,12",,
36,WYA,WYA,"75,27,100,10",,
37,CPC,CPC,"29,100,100,38",,
38,UPS,UPS,"100,78,32,22",,
39,CRH,CRH,"84,28,37,2",,
40,JOR,JOR,"100,94,17,5",,
41,BLV,BLV,"6,99,99,1",,
42,BVI,BVI,"100,94,17,5",,
43,AIR,AIR,"92,73,21,6",,
44,HBN,HBN,"96,73,1,0",,
45,SCK,SCK,"83,39,8,0",,
46,TCS,TCS,"98,71,18,3",,
47,HSD,HSD,"75,0,5,0",,
48,DOM,DOM,"71,50,38,12",,
49,SOV,SOV,"86,32,48,8",,
50,SNR,SNR,"63,89,32,18",,
51,BTO,BTO,"100,100,0,0",,
52,HUB,HUB,"53,42,57,13",,
53,WDK,WDK,"0,100,100,0",,
54,MOO,MOO,"54,72,0,0",,
55,OAC,OAC,"4,100,83,0",,
56,CTE,CTE,"100,94,26,13",,
57,CLV,CLV,"64,41,100,28",,
58,KNE,KNE,"100,99,24,10",,
59,TIS,TIS,"80,15,76,2",,
60,A24,A24,"90,33,99,25",,
61,CKS,CKS,"72,33,13,1",,
62,BPA,BPA,"4,98,97,3",,
63,KAH,KAH,"14,100,99,5",,
64,AFV,AFV,"62,53,0,0",,
65,MVL,MVL,"11,97,94,1",,
66,MDW,MDW,"81,31,28,6",,
67,LNC,LNC,"85,43,98,49",,
68,JUN,JUN,"84,74,0,0",,
69,WCV,WCV,"70,52,0,0",,
70,NOA,NOA,"0,66,100,0",,
71,WKR,WKR,"87,25,100,12",,
72,BGC,BGC,"85,58,1,0",,
73,ALL,ALL,"0,61,90,0",,
74,TOM,TOM,"9,49,93,0",,
75,MUR,MUR,"85,14,96,2",,
76,CTU,CTU,"68,100,18,5",,
77,DUL,DUL,"27,89,100,25",,
78,MTZ,MTZ,"16,65,100,3",,
79,GLF,GLF,"99,68,28,4",,
80,PNC,PNC,"88,33,76,21",,
81,SHC,SHC,"96,71,7,0",,
82,MOY,MOY,"98,87,3,0",,
83,FRI,FRI,"76,21,12,0",,
84,EDN,EDN,"30,100,97,38",,
85,HLL,HLL,"91,55,11,0",,
86,ACF,ACF,"24,100,100,57",,
87,GNK,GNK,"46,46,100,21",,
88,WIN,WIN,"91,48,66,42",,
89,NOS,NOS,"63,44,23,1",,
90,TIP,TIP,"100,80,20,5",,
91,TMK,TMK,"38,100,51,32",,
92,ELD,ELD,"72,42,1,0",,
93,HAR,HAR,"67,43,3,0",,
94,ACD,ACD,"86,51,46,21",,
95,AKC,AKC,"100,45,0,15",,
96,BFR,BFR,"58,27,20,0",,
97,AB2,AB2,"15,100,100,0",,
98,ADS,ADS,"74,47,33,7",,
99,TRI,TRI,"7,62,100,0",,
100,MCA,MCA,"68,66,68,76",,
101,PWC,PWC,"100,90,10,2",,
102,PDO,PDO,"20,89,100,10",,
103,CHV,CHV,"24,73,100,15",,
104,FWD,FWD,"87,36,100,31",,
105,KEN,KEN,"100,87,25,10",,
106,VVH,VVH,"39,74,96,47",,
107,GRE,GRE,"0,100,100,0",,
108,AHW,AHW,"96,73,2,0",,
109,ADB,ADB,"32,100,95,47",,
110,CVP,CVP,"76,52,0,0",,
111,DFT,DFT,"97,82,24,9",,
112,TCH,TCH,"100,75,35,20",,
113,ADC,ADC,"36,85,91,55",,
114,A43,A43,"22,100,100,14",,
115,CTR,CTR,"90,41,71,33",,
116,RGN,RGN,"81,24,100,9",,
117,CCL,CCL,"2,43,99,0",,
118,CRX,CRX,"85,50,0,0",,
119,CNB,CNB,"100,89,7,0",,
120,CLK,CLK,"35,88,84,49",,
121,CHB,CHB,"71,2,44,0",,
122,CLL,CLL,"85,42,84,42",,
123,VSQ,VSQ,"75,68,67,90",,
124,WST,WST,"35,44,80,10",,
125,INM,INM,"97,76,1,0",,
126,CNY,CNY,"74,5,30,0",,
127,ALG,ALG,"100,90,18,5",,
128,HPV,HPV,"100,99,23,10",,
129,HPV,HPV,"100,99,23,10",,
130,LEW,LEW,"96,73,2,0",,
131,CSR,CSR,"89,31,96,21",,
132,TWP,TWP,"24,91,93,18",,
133,CHW,CHW,"35,99,95,55",,
134,ANI,ANI,"90,33,98,25",,
135,AEM,AEM,"38,84,76,22",,
136,LAN,LAN,"98,72,19,4",,
137,GLS,GLS,"78,11,45,0",,
138,JFS,JFS,"70,82,1,0",,
139,ACE,ACE,"13,68,73,2",,
140,SDC,SDC,"80,53,0,0",,
141,LIV,LIV,"83,35,34,4",,
142,VPR,VPR,"84,30,39,4",,
143,NDE,NDE,"87,38,74,28",,
144,NHO,NHO,"40,0,7,5",,
146,SAT,SAT,"97,92,26,13",,
147,COS,COS,"76,6,36,0",,
148,CMA,CMA,"96,72,50,48",,
149,GRC,GRC,"0,100,100,0",,
150,TLV,TLV,"81,22,49,2",,
151,BDN,BDN,"29,100,85,37",,
152,KRN,KRN,"82,34,100,26",,
153,HRH,HRH,"81,33,16,0",,
154,BKL,BKL,"96,72,2,0",,
155,LWS,LWS,"81,33,16,0",,
156,HHV,HHV,"80,48,18,1",,
157,GAC,GAC,"81,33,16,0",,
158,WHE,WHE,"81,33,15,0",,
159,HMV,HMV,"72,28,30,1",,
160,GIS,GIS,"81,33,16,0",,
161,SCR,SCR,"24,100,94,18",,
162,KND,KND,"2,65,100,0",,
164,THR,THR,"100,100,24,10",,
165,ALC,ALC,"97,95,4,0",,
166,NCA,NCA,"100,80,18,4",,
167,ACC,ACC,"65,32,36,2",,
168,AVC,AVC,"78,49,0,0",,
169,GUJ,GUJ,"100,89,34,25",,
170,WCH,WCH,"100,84,27,13",,
171,BRC,BRC,"80,48,0,0",,
172,AMS,AMS,"20,100,98,11",,
173,CYP,CYP,"90,58,45,24",,
174,LKC,LKC,"74,41,52,16",,
175,MNT,MNT,"88,76,49,51",,
176,HRT,HRT,"8,99,98,1",,
177,BAY,BAY,"69,39,92,29",,
178,DLN,DLN,"78,33,34,3",,
179,WTC,WTC,"100,75,27,10",,
180,WTE,WTE,"100,75,27,10",,
181,CHQ,CHQ,"89,66,0,0",,
182,DLR,DLR,"1,99,97,0",,
183,ROW,ROW,"28,96,91,29",,
184,WLK,WLK,"81,44,100,48",,
185,BEA,BEA,"28,96,99,31",,
186,AHY,AHY,"57,28,100,8",,
187,BDH,BDH,"24,92,100,17",,
188,ANC,ANC,"58,15,83,1",,
189,SUP,SUP,"11,97,95,2",,
190,COT,COT,"13,97,95,4",,
191,BRG,BRG,"30,100,97,38",,
192,ACP,ACP,"89,61,0,0",,
193,WOK,WOK,"74,68,64,80",,
197,MSH,MSH,"39,58,69,22",,
199,FVL,FVL,"88,45,33,7",,
200,BCH,BCH,"96,78,2,0",,
201,TRM,TRM,"22,91,60,7",,
202,ROL,ROL,"72,4,19,0",,
203,CHA,CHA,"27,71,94,17",,
204,DDG,DDG,"22,100,89,14",,
206,RUG,RUG,"98,75,4,0",,
207,OVR,OVR,"99,98,14,3",,
208,CPK,CPK,"7,56,55,0",,
209,REP,REP,"73,42,63,24",,
210,RNT,RNT,"34,91,98,50",,
211,PDL,PDL,"100,76,29,13",,
212,PAW,PAW,"42,0,100,0",,
213,BTL,BTL,"89,29,84,17",,
214,BRN,BRN,"51,40,78,17",,
215,YRK,YRK,"53,13,20,0",,
216,AMC,AMC,"82,51,55,31",,
217,BRW,BRW,"29,73,100,22",,
218,UVS,UVS,"21,100,77,12",,
219,CUM,CUM,"100,94,2,2",,
220,SHN,SHN,"82,62,0,0",,
221,HER,HER,"52,19,59,1",,
222,HCC,HCC,"59,87,44,38",,
223,NMB,NMB,"76,12,53,0",,
224,MRS,MRS,"78,23,9,0",,
225,BRD,BRD,"1,38,82,0",,
226,MAG,MAG,"75,57,35,13",,
227,WHR,WHR,"89,50,9,0",,
228,CLU,CLU,"2,46,96,0",,
229,BUT,BUT,"59,27,77,7",,
230,ADD,ADD,"67,13,0,0",,
231,WGA,WGA,"93,75,1,0",,
232,AHM,AHM,"73,42,84,34",,
233,HON,HON,"0,94,81,0",,
234,TCV,TCV,"85,43,11,0",,
235,PMT,PMT,"79,34,100,25",,
236,GRD,GRD,"1,75,90,0",,
237,PHL,PHL,"78,36,97,28",,
238,NVH,NVH,"68,24,6,0",,
239,MYR,MYR,"14,100,98,0",,
240,RCY,RCY,"66,31,85,14",,
241,HAW,HAW,"78,65,26,7",,
242,PAM,PAM,"93,53,39,16",,
243,MRR,MRR,"71,35,92,23",,
244,TRV,TRV,"87,55,14,1",,
246,HOP,HOP,"39,9,17,0",,
247,BML,BML,"84,28,49,0",,
248,NEW,NEW,"75,60,59,49",,
249,MTV,MTV,"50,39,100,17",,
250,WAH,WAH,"64,29,70,9",,
251,AHE,AHE,"69,49,36,9",,
252,ALA,ALA,"0,61,99,0",,
253,BNB,BNB,"25,100,9,0",,
254,CRR,CRR,"0,61,99,0",,
255,HML,HML,"87,34,100,29",,
256,BAR,BAR,"100,87,3,0",,
257,MVA,MVA,"79,53,43,19",,
258,MMP,MMP,"61,34,82,16",,
259,FPW,FPW,"100,92,20,12",,
261,HWT,HWT,"45,20,7,0",,
262,SNS,SNS,"0,32,100,0",,
263,GLE,GLE,"13,30,79,0",,
264,WLM,WLM,"87,52,0,0",,
265,GOL,GOL,"13,30,79,0",,
266,DNG,DNG,"17,79,67,4",,
267,LAW,LAW,"56,30,3,0",,
268,GLV,GLV,"2,68,58,0",,
269,MPL,MPL,"87,44,72,40",,
270,CDV,CDV,"89,67,0,0",,
271,LFT,LFT,"89,53,15,1",,
272,HHO,HHO,"21,80,60,5",,
273,VLV,VLV,"34,72,100,33",,
274,BLG,BLG,"16,25,50,0",,
275,TAC,TAC,"15,95,100,5",,
276,WLB,WLB,"100,92,20,7",,
277,TES,TES,"69,5,34,0",,
278,FVO,FVO,"88,38,86,35",,
279,HUR,HUR,"75,56,76,77",,
280,VMD,VMD,"100,92,20,7",,
281,WMU,WMU,"100,44,0,0",,
282,DNV,DNV,"60,3,12,25",,
283,WMI,WMI,"75,15,98,2",,
284,LCU,LCU,"100,59,0,21",,
285,RDB,RDB,"17,35,79,0",,
286,PCM,PCM,"86,54,0,0",,
287,SDP,SDP,"79,42,2,0",,
288,CMU,CMU,"90,41,80,39",,
289,ASW,ASW,"95,70,0,0",,
290,HFV,HFV,"98,77,22,7",,
291,VAC,VAC,"18,100,98,9",,
292,GAR,GAR,"91,65,0,0",,
293,AHS,AHS,"75,45,100,45",,
294,HVC,HVC,"4,100,83,0",,
295,OWN,OWN,"60,0,80,35",,
296,MAD,MAD,"85,44,0,0",,
297,MAH,MAH,"94,99,3,0",,
298,NOK,NOK,"75,0,100,0",,
299,TDD,TDD,"25,100,100,27",,
300,BCK,BCK,"76,28,83,13",,
301,ATH,ATH,"28,96,91,29",,
302,OXF,OXF,"25,100,100,22",,
304,LEN,LEN,"24,100,96,18",,
305,BDO,BDO,"91,60,8,0",,
306,ACO,ACO,"42,8,90,0",,
307,HEB,HEB,"100,84,23,8",,
308,HMP,HMP,"75,0,100,0",,
309,NRW,NRW,"64,25,49,3",,
310,SMU,SMU,"92,66,42,26",,
311,RKY,RKY,"91,82,0,0",,
312,TVA,TVA,"78,13,100,2",,
313,FLD,FLD,"77,72,56,65",,
314,FOS,FOS,"80,44,37,8",,
315,STJ,STJ,"72,0,100,43",,
316,STL,STL,"73,9,93,0",,
318,CPT,CPT,"100,91,32,34",,
319,TAH,TAH,"22,4,0,0",,
320,S24,S24,"28,96,92,29",,
321,PA4,PA4,"69,60,7,0",,
322,TCG,TCG,"96,86,23,9",,
323,PCF,PCF,"99,100,18,19",,
324,AKR,AKR,"25,95,100,23",,
325,CST,CST,"100,0,0,0",,
326,VIT,VIT,"15,87,75,3",,
327,CCM,CCM,"88,52,0,0",,
328,PRN,PRN,"60,0,99,55",,
329,PNL,PNL,"49,0,99,0",,
330,CGN,CGN,"1,74,97,0",,
331,CHE,CHE,"100,90,21,7",,
332,ROG,ROG,"28,100,99,30",,
333,MLT,MLT,"100,91,18,6",,
334,DEM,DEM,"88,52,0,0",,
335,ADO,ADO,"65,30,36,2",,
336,VLN,VLN,"46,69,88,59",,
337,QTM,QTM,"78,33,99,22",,
338,GLM,GLM,"27,89,73,19",,
339,ART,ART,"31,93,91,39",,
340,PRM,PRM,"70,12,32,0",,
341,AMT,AMT,"27,100,74,22",,
342,WAT,WAT,"100,75,27,10",,
343,DKR,DKR,"1,98,95,0",,
344,KRM,KRM,"100,72,0,18",,
345,KMB,KMB,"97,75,36,23",,
346,ALT,ALT,"91,59,38,18",,
347,GRV,GRV,"84,32,77,20",,
348,SBR,SBR,"69,22,100,5",,
349,CMB,CMB,"66,60,37,15",,
350,KNL,KNL,"64,0,26,0",,
351,LOC,LOC,"69,16,0,0",,
352,PAC,PAC,"75,0,99,0",,
353,AAH,AAH,"87,41,28,3",,
354,SPB,SPB,"27,91,77,22",,
355,ARI,ARI,"88,25,100,13",,
356,ELG,ELG,"68,14,0,0",,
357,ARH,ARH,"56,18,24,0",,
358,ZYY,ZYY,"91,67,3,0",,
359,ZRC,ZRC,"0,45,98,0",,
360,ZAV,ZAV,"78,22,23,0",,
361,ZAC,ZAC,"78,23,56,4",,
362,ZBA,ZBA,"73,41,0,0",,
363,ZBL,ZBL,"93,80,0,0",,
364,ZBR,ZBR,"80,60,0,0",,
365,ZBU,ZBU,"91,80,1,0",,
366,ZCL,ZCL,"94,65,47,34",,
367,ZHW,ZHW,"66,43,3,0",,
368,ZMT,ZMT,"67,41,79,29",,
369,ZMV,ZMV,"30,100,99,42",,
370,ZOD,ZOD,"100,91,22,8",,
371,ZPA,ZPA,"31,42,100,7",,
372,ZSA,ZSA,"82,71,0,0",,
373,ZSV,ZSV,"21,54,54,2",,
374,ZVF,ZVF,"78,44,76,41",,
375,,ZPE,"94,41,31,44",,
376,,ZCP,"70,67,63,74",,
377,,ZCS,"92,60,46,29",,
378,,ZDR,"87,42,80,29",,
379,,ZFP,"69,20,0,0",,
380,,ZHP,"72,75,49,48",,
381,,ZHC,"72,16,15,0",,
382,,ZHI,"55,78,47,36",,
383,,ZJL,"82,45,95,39",,
384,,ZLP,"93,13,14,19",,
385,,ZPH,"25,94,98,38",,
386,,ZTN,"74,53,17,1",,
387,,ZVI,"61,31,0,0",,
388,,ZAB,"0,71,90,0",,
389,,ZAL,"90,55,33,11",,
390,,ZBC,"100,100,30,20",,
391,,ZCA,"92,83,0,0",,
392,,ZCC,"90,56,5,0",,
393,,ZCV,"80,38,0,0",,
394,,ZFC,"60,51,47,17",,
395,,ZHE,"53,3,38,0",,
396,,ZNR,"70,21,12,0",,
397,,ZPK,"85,16,100,3",,
398,,ZCD,"87,36,60,17",,
399,,ZVV,"29,18,16,53",,
400,,VWC,"84,35,30,2",,
401,,ZYP,"61,52,52,23",,
402,,A224F,"86,38,54,15",,
403,,A222F,"18,100,90,7",,
404,,A215F,"93,64,10,1",,
405,,A232F,"81,40,0,0",,
406,,A230F,"48,63,82,50",,
407,,A223F,"86,50,0,0",,
408,,A233F,"13,92,99,4",,
409,,A234F,"44,66,71,38",,
410,,A229F,"34,11,4,0",,
411,,A219F,"94,60,20,3",,
412,,A220F,"100,98,28,20",,
413,,A226F,"86,50,0,0",,
414,,A225F,"74,49,0,0",,
415,,A237F,"42,64,71,34",,
416,,A211F,"20,100,81,12",,
417,,A218F,"99,75,13,2",,
418,,A217F,"100,89,34,25",,
419,,A227F,"27,89,87,25",,
420,,A210F,"67,43,4,0",,
421,,A235F,"43,29,56,3",,
